timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1684426683446,730,T01_Create_User,201,Created,Thread Group 1-1,text,true,,714,216,1,1,https://reqres.in/api/users,728,0,285
1684426684236,345,T02_Update_Request,200,OK,Thread Group 1-1,text,true,,695,225,2,2,https://reqres.in/api/users/20,345,0,0
1684426684582,326,T01_Create_User,201,Created,Thread Group 1-1,text,true,,711,216,2,2,https://reqres.in/api/users,326,0,0
1684426685373,523,T01_Create_User,201,Created,Thread Group 1-3,text,true,,713,216,3,3,https://reqres.in/api/users,523,0,161
1684426684360,522,T01_Create_User,201,Created,Thread Group 1-2,text,true,,719,216,2,2,https://reqres.in/api/users,522,0,149
1684426685890,323,T02_Update_Request,200,OK,Thread Group 1-1,text,true,,697,226,3,3,https://reqres.in/api/users/438,323,0,0
1684426685920,330,T02_Update_Request,200,OK,Thread Group 1-2,text,true,,701,226,3,3,https://reqres.in/api/users/428,329,0,0
1684426685907,388,T02_Update_Request,200,OK,Thread Group 1-3,text,true,,695,226,3,3,https://reqres.in/api/users/233,388,0,0
1684426686296,322,T01_Create_User,201,Created,Thread Group 1-3,text,true,,712,216,4,4,https://reqres.in/api/users,322,0,0
1684426686251,341,T01_Create_User,201,Created,Thread Group 1-2,text,true,,714,216,4,4,https://reqres.in/api/users,341,0,0
1684426686363,534,T01_Create_User,201,Created,Thread Group 1-4,text,true,,705,216,4,4,https://reqres.in/api/users,534,0,150
1684426686214,327,T01_Create_User,201,Created,Thread Group 1-1,text,true,,713,216,4,4,https://reqres.in/api/users,327,0,0
1684426687588,367,T02_Update_Request,200,OK,Thread Group 1-1,text,true,,695,226,5,5,https://reqres.in/api/users/899,367,0,0
1684426687569,386,T02_Update_Request,200,OK,Thread Group 1-4,text,true,,695,226,5,5,https://reqres.in/api/users/808,386,0,0
1684426687567,388,T02_Update_Request,200,OK,Thread Group 1-3,text,true,,699,225,5,5,https://reqres.in/api/users/38,388,0,0
1684426687567,388,T02_Update_Request,200,OK,Thread Group 1-2,text,true,,701,225,5,5,https://reqres.in/api/users/60,388,0,0
1684426687357,598,T01_Create_User,201,Created,Thread Group 1-5,text,true,,711,216,5,5,https://reqres.in/api/users,598,0,164
1684426688090,326,T02_Update_Request,200,OK,Thread Group 1-5,text,true,,697,226,6,6,https://reqres.in/api/users/669,326,0,0
1684426687957,325,T01_Create_User,201,Created,Thread Group 1-4,text,true,,711,216,5,5,https://reqres.in/api/users,325,0,0
1684426688417,322,T01_Create_User,201,Created,Thread Group 1-5,text,true,,717,216,6,6,https://reqres.in/api/users,322,0,0
1684426687957,325,T01_Create_User,201,Created,Thread Group 1-3,text,true,,713,216,5,5,https://reqres.in/api/users,325,0,0
1684426687957,325,T01_Create_User,201,Created,Thread Group 1-2,text,true,,713,216,5,5,https://reqres.in/api/users,325,0,0
1684426688358,484,T01_Create_User,201,Created,Thread Group 1-6,text,true,,709,216,6,6,https://reqres.in/api/users,484,0,159
1684426687957,313,T01_Create_User,201,Created,Thread Group 1-1,text,true,,709,216,5,5,https://reqres.in/api/users,313,0,0
1684426688849,334,T02_Update_Request,200,OK,Thread Group 1-6,text,true,,697,226,6,6,https://reqres.in/api/users/981,334,0,0
1684426688839,344,T02_Update_Request,200,OK,Thread Group 1-5,text,true,,695,226,6,6,https://reqres.in/api/users/540,344,0,0
1684426688839,345,T02_Update_Request,200,OK,Thread Group 1-2,text,true,,695,226,6,6,https://reqres.in/api/users/187,345,0,0
1684426688839,345,T02_Update_Request,200,OK,Thread Group 1-3,text,true,,691,226,6,6,https://reqres.in/api/users/568,344,0,0
1684426688839,345,T02_Update_Request,200,OK,Thread Group 1-4,text,true,,695,226,6,6,https://reqres.in/api/users/234,344,0,0
1684426688858,328,T02_Update_Request,200,OK,Thread Group 1-1,text,true,,691,226,6,6,https://reqres.in/api/users/827,328,0,0
1684426689187,326,T01_Create_User,201,Created,Thread Group 1-1,text,true,,717,216,7,7,https://reqres.in/api/users,326,0,0
1684426689184,325,T01_Create_User,201,Created,Thread Group 1-3,text,true,,713,216,7,7,https://reqres.in/api/users,325,0,0
1684426689184,325,T01_Create_User,201,Created,Thread Group 1-2,text,true,,711,216,7,7,https://reqres.in/api/users,325,0,0
1684426689184,322,T01_Create_User,201,Created,Thread Group 1-4,text,true,,709,216,7,7,https://reqres.in/api/users,322,0,0
1684426689184,322,T01_Create_User,201,Created,Thread Group 1-5,text,true,,706,216,7,7,https://reqres.in/api/users,322,0,0
1684426689184,325,T01_Create_User,201,Created,Thread Group 1-6,text,true,,715,216,7,7,https://reqres.in/api/users,325,0,0
1684426689520,320,T02_Update_Request,200,OK,Thread Group 1-3,text,true,,691,226,7,7,https://reqres.in/api/users/601,320,0,0
1684426689520,329,T02_Update_Request,200,OK,Thread Group 1-1,text,true,,695,226,7,7,https://reqres.in/api/users/790,329,0,0
1684426689520,334,T02_Update_Request,200,OK,Thread Group 1-2,text,true,,693,226,7,7,https://reqres.in/api/users/542,334,0,0
1684426689636,320,T02_Update_Request,200,OK,Thread Group 1-4,text,true,,701,226,7,7,https://reqres.in/api/users/588,320,0,0
1684426689636,326,T02_Update_Request,200,OK,Thread Group 1-6,text,true,,695,226,7,7,https://reqres.in/api/users/733,326,0,0
1684426689636,326,T02_Update_Request,200,OK,Thread Group 1-5,text,true,,705,225,7,7,https://reqres.in/api/users/22,326,0,0
1684426689353,490,T01_Create_User,201,Created,Thread Group 1-7,text,true,,713,216,7,7,https://reqres.in/api/users,490,0,160
1684426689851,316,T01_Create_User,201,Created,Thread Group 1-1,text,true,,713,216,7,7,https://reqres.in/api/users,316,0,0
1684426689963,324,T01_Create_User,201,Created,Thread Group 1-6,text,true,,713,216,7,7,https://reqres.in/api/users,324,0,0
1684426689957,316,T01_Create_User,201,Created,Thread Group 1-4,text,true,,711,216,7,7,https://reqres.in/api/users,316,0,0
1684426689963,324,T01_Create_User,201,Created,Thread Group 1-5,text,true,,711,216,7,7,https://reqres.in/api/users,324,0,0
1684426689854,322,T01_Create_User,201,Created,Thread Group 1-2,text,true,,712,216,7,7,https://reqres.in/api/users,322,0,0
1684426689992,335,T02_Update_Request,200,OK,Thread Group 1-7,text,true,,701,226,7,7,https://reqres.in/api/users/775,335,0,0
1684426689842,318,T01_Create_User,201,Created,Thread Group 1-3,text,true,,711,216,7,7,https://reqres.in/api/users,318,0,0
1684426690171,328,T02_Update_Request,200,OK,Thread Group 1-1,text,true,,699,226,8,8,https://reqres.in/api/users/662,328,0,0
1684426690299,307,T02_Update_Request,200,OK,Thread Group 1-5,text,true,,695,226,8,8,https://reqres.in/api/users/502,307,0,0
1684426690298,313,T02_Update_Request,200,OK,Thread Group 1-6,text,true,,695,226,8,8,https://reqres.in/api/users/773,313,0,0
1684426690299,322,T02_Update_Request,200,OK,Thread Group 1-4,text,true,,707,226,8,8,https://reqres.in/api/users/413,322,0,0
1684426690299,324,T02_Update_Request,200,OK,Thread Group 1-2,text,true,,693,225,8,8,https://reqres.in/api/users/71,324,0,0
1684426690336,431,T02_Update_Request,200,OK,Thread Group 1-3,text,true,,695,226,8,8,https://reqres.in/api/users/561,431,0,0
